Property Address,Property Name,Number Of Units,Building Class,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Phone,Sale Company Contact,Vacancy %,Year Built,Year Renovated,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Owner Name,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Name,Property Manager Phone,Recorded Owner Name,Recorded Owner Contact,Recorded Owner Phone,Recorded Owner Address,Recorded Owner City State Zip,One Bedroom Effective Rent/Unit,Studio Effective Rent/Unit,Two Bedroom Asking Rent/Unit,Three Bedroom Effective Rent/Unit
20 Staff Sargeant Pendleton Way,Cascade Building,62,B,Yakima,WA,98901,300.00,1.54,462,,,,,,,9.5,1910,2007,,,,,Senator Llc,2522 Proctor St,"Tacoma, WA 98406",,2067708812,Cascade Apartments,,Senator Llc,,2067708812,2522 Proctor St,"Tacoma, WA 98406",,458,,
307 S 2nd St,,25,C,Yakima,WA,98901,,,,1499000,7.05,"$59,960.00",Paragon Group,4256543529,Ross Hubbard,2.5,1915,,,,,,307 South 2nd Street Llc,307 S 2nd St,"Yakima, WA 98901    ",,,,,307 South 2nd Street Llc,,,307 S 2nd St,"Yakima, WA 98901    ",,,,
31 N Front St,Senator Building,55,B,Yakima,WA,98901-2609,419.00,1.18,495,1985000,10.54,"$36,091.00",Stewart Commercial,2067708812,Aaron Stewart,29.0,1910,,20,,,,Stewart Commercial,2522 N Proctor St Suite # 467,"Tacoma, WA 98406    ",,2067708812,The Senator Apartments,5092482146,Senator Llc,,,2522 Proctor St,"Tacoma, WA 98406",420,530,,
803 N 1st St,,12,C,Yakima,WA,98901,558.00,1.11,618,,,,,,,8.1,1930,,10,2,,,Enrique F & Carole B Jevons,514 Viewmont Dr,"Yakima, WA 98908    ",Enrique Jevons,5099663015,,,Enrique F & Carole B Jevons,,5099663015,514 Viewmont Dr,"Yakima, WA 98908    ",577,,818,
1023 S 1st Ave,,17,C,Yakima,WA,98902,,,,,,,,,,2.5,1965,,,,,,Richard E Lenseigne,610 Follow Through Dr,"Yakima, WA 98901",Richard Lenseigne,5099300175,1023 S 1st Ave,5099300175,Lenseigne Richard & Diana,,,411 E Duffield Rd,"Moxee, WA 98936",,,,
702 N 2nd St,,10,C,Yakima,WA,98901,750.00,,,,,,,,,8.7,1973,,10,,,,Kris Bernard,3403 Ross Ave,"Gig Harbor, WA 98332",Kris Bernard,2532380809,702 N 2nd St,2532380809,Northwest Invs Hldgs 19 Llc,,,,,,,,
1205 N 2nd St,Maple Leaf Townhouses,26,C,Yakima,WA,98901,822.00,,,,,,,,,1.9,1979,,,26,,,Kristi Beattie,2001 N Division St,"Spokane, WA 99207-2255",Kristi Beattie,2068902005,Maple Leaf Townhouses,5094533454,Mapleleaf Townhouses,,,PO BOX 2170,"LYNNWOOD, WA 98036",,,,
301-303 S 2nd St,,14,C,Yakima,WA,98901,,,464,,,,,,,2.9,1928,,3,,,,Black Diamond Commercial RE and Development,123 E Yakima Ave,"Yakima, WA 98901    ",Chris Waddle,5098342243,,,,,,,,510,449,,
316 S 2nd St,,20,C,Yakima,WA,98901,,,,,,,,,,2.9,1920,,20,,,,Kris H Reed,9114 49th Dr NE,"Marysville, WA 98270-2500",,3606538673,Kris H Reed,3606538673,David M Reed,,,,,,,,
407 S 2ND St,,13,C,Yakima,WA,98901,,,,,,,,,,2.9,1930,,,,,,CINDY LAMB,1220 Slavin Rd,"Yakima, WA 98903",,3609707297,,,Csl Enterprizes Llc &,,,1220 Slavin Rd,"Yakima, WA 98903",,,,
