Property Address,Property Name,Number Of Units,Building Class,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Phone,Sale Company Contact,Vacancy %,Year Built,Year Renovated,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Owner Name,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Name,Property Manager Phone,Recorded Owner Name,Recorded Owner Contact,Recorded Owner Phone,Recorded Owner Address,Recorded Owner City State Zip,One Bedroom Effective Rent/Unit,Studio Effective Rent/Unit,Two Bedroom Asking Rent/Unit,Three Bedroom Effective Rent/Unit
241 16th St,Historic Hillcrest,106,C,Toledo,OH,43604,"1,021.00",0.86,879,,,,,,,10.4,1927,1999,36,66,4,,The Millennia Companies,127 Public Sq Suite # 4000,"Cleveland, OH 44114-1217",Frank Sinito,2165201250,Millennia - Historic Hillcrest Apartments,4192447078,Historic Hillcrest Investment,,,8111 Rockside,"Valley View, OH 44125",725,,928,"1,445"
1922 Collingwood Blvd,Executive Towers Apartments,149,C,Toledo,OH,43604-5011,784.00,0.87,684,,,,,,,1.3,1964,,57,48,4,1,Denizen Management,280 E 96th St Suite # 100,"Indianapolis, IN 46240-3844",,3178159360,Denizen - Executive Towers Apartments,5672021551,MIMG XXV Executive Towers LLC,,,,,662,535,781,"1,084"
10 Southard Ave,"New Channey Flats Town Homes
",65,B,Toledo,OH,43604-5259,,,628,,,,,,,1.4,2003,,9,23,33,,Ark Restoration and Construction,20 Broadway St,"Toledo, OH 43604",Ambrea Mikolajczyk,5672751535,New Channey Flats Town Homes,4192469693,,,,,,496,,596,684
300 3 Meadows Dr,Three Meadows Apartments,150,C,Perrysburg,OH,43551-3138,793.00,0.98,774,,,,,,,2.0,1973,,80,70,,,C O Management Service Co,23933 Vreeland Rd,"Flat Rock, MI 48134",,7347897692,C.O. Management - Three Meadows Apartments,4198743083,C O Condominium Corp,,,22333 Allen Rd,"Woodhaven, MI 48183    ",717,,835,
1002 3rd St,Cedar Park Apartments,150,C,Bowling Green,OH,43402,630.00,1.11,699,,,,,,,0.6,1981,,150,,,,,,,,,Cedar Park Apartments,4193522544,,,,,,697,,,
1220 4 Seasons Dr,Willow Crest,136,B,Toledo,OH,43615-7689,"1,048.00",0.84,885,,,,,,,0.8,2002,,,80,56,,A.R. Building Company,300-310 Seven Fields Blvd Suite # 350,"Seven Fields, PA 16046-4356",Jason Kambitsis,7247412300,A.R. Building - Willow Crest,4193828550,WILLOW CREST PROPERTIES LP,,,,,,,805,997
326-336 14th St,Uptown Art Center,52,B,Toledo,OH,43604-5466,951.00,0.74,703,,,,,,,,2001,,6,16,30,,City Of Toledo,1 Government Ctr Suite # 2120,"Toledo, OH 43604-2209",Matt Cherry,4192451044,Torrey Hill Apartments - Uptown Art Center,4192469693,City Of Toledo,,4199362020,,,550,,655,760
142 23rd St,Park Lane Residences,92,C,Toledo,OH,43604-5119,595.00,1.46,867,,,,,,,1.1,1926,,68,,,,Joseph E Goodell,4312 N Holland Sylvania Rd,"Toledo, OH 43623",,4198822090,Park Lane Residences,4192554455,Park Lane Apartments LLC,,,4540 Brookside Rd,"Ottawa Hills, OH 43615-2206",875,832,,
2830 131st St,Maple Grove Townhomes,56,C,Toledo,OH,43611-2313,771.00,0.90,691,,,,,,,1.3,1972,,,56,,,Dowell Ronald R & Marsha S,28798 Oregon Rd,"Perrysburg, OH 43551",Marsha Dowell,6144456430,Noneman - Maple Grove Townhomes,4193593280,Ronald R & Marsha S Dowell,,6144456430,3519 Secor Rd,"Toledo, OH 43606    ",,,691,
513 Adams St,LaSalle Apartments,131,B,Toledo,OH,43604-1434,"1,157.00",0.93,"1,071",,,,,,,0.7,1917,1995,64,67,,,Monarch Investment and Management Group,2195 S Hwy 83 Suite # 14,"Franktown, CO 80116-8610",Andrew Newell,3034162900,Monarch - LaSalle,4192438787,Mimg Lxii Lasalle Llc,,,,,963,,"1,173",
